"dv","ivs","cc","demog","inter"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex isphandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex isphandler*d1sex"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex isphandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex isphandler*p1sex"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl isphandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl isphandler*d1racewhbl"
"ispdepr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl isphandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl isphandler*p1racewhbl"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1racewhbl"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1racewhbl"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex isdcc1r*d1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex isdcc1r*d1sex"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex isdcc1r*p1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex isdcc1r*p1sex"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl isdcc1r*d1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl isdcc1r*d1racewhbl"
"ispdepr","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl isdcc1r*p1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl isdcc1r*p1racewhbl"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1sex","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1sex"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1sex","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1sex"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1racewhbl","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1racewhbl"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1racewhbl","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1racewhbl"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex ispcc1r*d1sex","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex ispcc1r*d1sex"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex ispcc1r*p1sex","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex ispcc1r*p1sex"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl ispcc1r*d1racewhbl","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl ispcc1r*d1racewhbl"
"ispdepr","isdhandler ispcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl ispcc1r*p1racewhbl","isdhandler ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl ispcc1r*p1racewhbl"
