"dv","ivs","cc","demog","inter"
"ispinstr","d1sex p1sex d1racewhbl p1racewhbl"," ","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","isdhandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispinstr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispinstr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispinstr","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispinstr","isphandler d1sex p1sex d1racewhbl p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispinstr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispinstr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"ispinstr","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispinstr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"ispinstr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
"ispinstr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1racewhbl"
"ispinstr","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1racewhbl"
"ispinstr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1sex"
"ispinstr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1sex"
"ispinstr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1racewhbl"
"ispinstr","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1racewhbl"
"ispinstr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1sex"
"ispinstr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1sex"
"ispinstr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1racewhbl"
"ispinstr","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1racewhbl"
"ispinstr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1sex"
"ispinstr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1sex"
"ispinstr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1racewhbl"
"ispinstr","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1racewhbl"
"ispinstr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispinstr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispinstr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispinstr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispinstr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispinstr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispinstr","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
