"dv","ivs","cc","demog","inter"
"isdavoid","d1sex p1sex d1racewhbl p1racewhbl"," ","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdavoid","isdhandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdavoid","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"isdavoid","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"isdavoid","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"isdavoid","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"isdavoid","isphandler d1sex p1sex d1racewhbl p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdavoid","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"isdavoid","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"isdavoid","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"isdavoid","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"isdavoid","isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdavoid","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"isdavoid","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
