"dv","ivs","cc","demog","inter"
"isdhappy","d1sex p1sex d1racewhbl p1racewhbl"," ","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","isdhandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"isdhappy","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"isdhappy","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"isdhappy","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"isdhappy","isphandler d1sex p1sex d1racewhbl p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"isdhappy","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"isdhappy","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"isdhappy","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"isdhappy","isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"isdhappy","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
"isdhappy","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1racewhbl"
"isdhappy","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1racewhbl"
"isdhappy","ispcc1r d1sex p1sex d1racewhbl p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1sex"
"isdhappy","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1sex"
"isdhappy","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1racewhbl"
"isdhappy","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1racewhbl"
"isdhappy","isdcc2 d1sex p1sex d1racewhbl p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1sex"
"isdhappy","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1sex"
"isdhappy","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1racewhbl"
"isdhappy","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1racewhbl"
"isdhappy","ispcc2 d1sex p1sex d1racewhbl p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1sex"
"isdhappy","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1sex"
"isdhappy","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1racewhbl"
"isdhappy","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1racewhbl"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex isphandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex isphandler*d1sex"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex isphandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex isphandler*p1sex"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl isphandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl isphandler*d1racewhbl"
"isdhappy","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl isphandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl isphandler*p1racewhbl"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1racewhbl"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1racewhbl","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1racewhbl"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex isdcc1r*d1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex isdcc1r*d1sex"
"isdhappy","isdhandler isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex isdcc1r*p1sex","isdhandler isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex isdcc1r*p1sex"
