"dv","ivs","cc","demog","inter"
"ispminimize","d1sex p1sex d1racewhbl p1racewhbl"," ","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","isdhandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispminimize","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispminimize","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispminimize","isdhandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispminimize","isphandler d1sex p1sex d1racewhbl p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispminimize","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispminimize","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"ispminimize","isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispminimize","isdcc1r d1sex p1sex d1racewhbl p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1sex"
"ispminimize","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1sex","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1sex"
"ispminimize","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*d1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*d1racewhbl"
"ispminimize","isdcc1r d1sex p1sex d1racewhbl p1racewhbl isdcc1r*p1racewhbl","isdcc1r","d1sex p1sex d1racewhbl p1racewhbl","isdcc1r*p1racewhbl"
"ispminimize","ispcc1r d1sex p1sex d1racewhbl p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1sex"
"ispminimize","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1sex","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1sex"
"ispminimize","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*d1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*d1racewhbl"
"ispminimize","ispcc1r d1sex p1sex d1racewhbl p1racewhbl ispcc1r*p1racewhbl","ispcc1r","d1sex p1sex d1racewhbl p1racewhbl","ispcc1r*p1racewhbl"
"ispminimize","isdcc2 d1sex p1sex d1racewhbl p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1sex"
"ispminimize","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1sex","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1sex"
"ispminimize","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1racewhbl"
"ispminimize","isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1racewhbl","isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1racewhbl"
"ispminimize","ispcc2 d1sex p1sex d1racewhbl p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1sex"
"ispminimize","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1sex","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1sex"
"ispminimize","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*d1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*d1racewhbl"
"ispminimize","ispcc2 d1sex p1sex d1racewhbl p1racewhbl ispcc2*p1racewhbl","ispcc2","d1sex p1sex d1racewhbl p1racewhbl","ispcc2*p1racewhbl"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1sex"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1sex"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*d1racewhbl"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isphandler*p1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isphandler*p1racewhbl"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex isphandler*d1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex isphandler*d1sex"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex isphandler*p1sex","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex isphandler*p1sex"
"ispminimize","isdhandler isphandler d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl isphandler*d1racewhbl","isdhandler isphandler","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl isphandler*d1racewhbl"
